leaf_id,sample_id,n_cells,cluster_size,patient_id
1/2,SPECTRUM-OV-052_S1_INFRACOLIC_OMENTUM,31,139,SPECTRUM-OV-052
1/2,SPECTRUM-OV-052_S1_RIGHT_ADNEXA,111,139,SPECTRUM-OV-052
0,SPECTRUM-OV-065_S1_INFRACOLIC_OMENTUM,0,102,SPECTRUM-OV-065
0,SPECTRUM-OV-065_S1_RIGHT_OVARY,104,102,SPECTRUM-OV-065
1,SPECTRUM-OV-065_S1_INFRACOLIC_OMENTUM,0,186,SPECTRUM-OV-065
1,SPECTRUM-OV-065_S1_RIGHT_OVARY,188,186,SPECTRUM-OV-065
2,SPECTRUM-OV-065_S1_INFRACOLIC_OMENTUM,24,440,SPECTRUM-OV-065
2,SPECTRUM-OV-065_S1_RIGHT_OVARY,445,440,SPECTRUM-OV-065
0,SPECTRUM-OV-068_S1_INFRACOLIC_OMENTUM,432,422,SPECTRUM-OV-068
0,SPECTRUM-OV-070_S1_PELVIC_PERITONEUM,1028,990,SPECTRUM-OV-070
0,SPECTRUM-OV-071_S1_PELVIC_PERITONEUM,420,409,SPECTRUM-OV-071
1,SPECTRUM-OV-071_S1_PELVIC_PERITONEUM,268,262,SPECTRUM-OV-071
2,SPECTRUM-OV-071_S1_PELVIC_PERITONEUM,192,189,SPECTRUM-OV-071
3,SPECTRUM-OV-071_S1_PELVIC_PERITONEUM,148,147,SPECTRUM-OV-071
4,SPECTRUM-OV-071_S1_PELVIC_PERITONEUM,83,80,SPECTRUM-OV-071
0,SPECTRUM-OV-075_S1_LEFT_FALLOPIAN_TUBE,367,351,SPECTRUM-OV-075
1,SPECTRUM-OV-075_S1_LEFT_FALLOPIAN_TUBE,268,257,SPECTRUM-OV-075
2,SPECTRUM-OV-075_S1_LEFT_FALLOPIAN_TUBE,156,148,SPECTRUM-OV-075
3,SPECTRUM-OV-075_S1_LEFT_FALLOPIAN_TUBE,107,71,SPECTRUM-OV-075
0,SPECTRUM-OV-080_S1_PELVIC_PERITONEUM,125,121,SPECTRUM-OV-080
0,SPECTRUM-OV-081_S1_INFRACOLIC_OMENTUM,396,322,SPECTRUM-OV-081
0,SPECTRUM-OV-081_S1_LEFT_ADNEXA,0,322,SPECTRUM-OV-081
1,SPECTRUM-OV-081_S1_INFRACOLIC_OMENTUM,0,100,SPECTRUM-OV-081
1,SPECTRUM-OV-081_S1_LEFT_ADNEXA,100,100,SPECTRUM-OV-081
2,SPECTRUM-OV-081_S1_INFRACOLIC_OMENTUM,2,83,SPECTRUM-OV-081
2,SPECTRUM-OV-081_S1_LEFT_ADNEXA,81,83,SPECTRUM-OV-081
3,SPECTRUM-OV-081_S1_INFRACOLIC_OMENTUM,36,29,SPECTRUM-OV-081
3,SPECTRUM-OV-081_S1_LEFT_ADNEXA,0,29,SPECTRUM-OV-081
0,SPECTRUM-OV-082_S1_INFRACOLIC_OMENTUM,518,510,SPECTRUM-OV-082
0,SPECTRUM-OV-083_S1_INFRACOLIC_OMENTUM,0,20,SPECTRUM-OV-083
0,SPECTRUM-OV-083_S1_LEFT_ADNEXA,21,20,SPECTRUM-OV-083
1,SPECTRUM-OV-083_S1_INFRACOLIC_OMENTUM,21,41,SPECTRUM-OV-083
1,SPECTRUM-OV-083_S1_LEFT_ADNEXA,21,41,SPECTRUM-OV-083
2,SPECTRUM-OV-083_S1_INFRACOLIC_OMENTUM,496,490,SPECTRUM-OV-083
2,SPECTRUM-OV-083_S1_LEFT_ADNEXA,4,490,SPECTRUM-OV-083
