,patient_id,sample_id,total_sequenced_cells,low_quality_cells,normal_cells,aberrant_normal_cells,sphase_cells,doublets,too_short_135_segment_cells,filter_passing_cells,0xWGD_cells,1xWGD_cells,2xWGD_cells,divergent_cells,0xWGD_divergent_cells,1xWGD_divergent_cells,2xWGD_divergent_cells,highquality_mean_total_mapped_reads,highquality_mean_coverage_depth,highquality_mean_coverage_breadth,highquality_mean_quality,highquality_mean_ploidy,highquality_mean_fraction_loh,highquality_mean_breakpoints,filtered_mean_total_mapped_reads,filtered_mean_coverage_depth,filtered_mean_coverage_breadth,filtered_mean_quality,filtered_mean_ploidy,filtered_mean_fraction_loh,filtered_mean_breakpoints
20,SPECTRUM-OV-025,SPECTRUM-OV-025_S1_INFRACOLIC_OMENTUM,859,118,461,109,3,2,0,166,0,160,6,7,0.0,5.0,2.0,4649605.134952767,0.0694481282051282,0.06444474170887546,0.9958488529014845,2.3573226911145184,0.11884763639957702,47.38056680161943,6340915.36746988,0.09989707228915662,0.09089658149495128,0.9907228915662651,3.3272240251161302,0.49585167015366854,96.72289156626506
21,SPECTRUM-OV-025,SPECTRUM-OV-025_S1_RIGHT_OVARY,2940,933,944,151,8,2,4,898,0,838,60,35,0.0,15.0,20.0,5011358.503736921,0.09788111609367214,0.09003265975225261,0.9732735426008968,2.6597199612330695,0.22799359312879353,54.48430493273543,6095853.283964366,0.12306791425389754,0.11118136820440436,0.9493095768374165,3.4092865160297756,0.494338203839024,93.21158129175947
22,SPECTRUM-OV-026,SPECTRUM-OV-026_S1_BOWEL,860,113,128,16,56,3,0,544,541,2,1,1,0.0,0.0,1.0,3848234.1298527443,0.05951317001338687,0.05558482531755608,0.9577376171352074,1.9548265802719709,0.4155683565002255,105.08701472556895,3701441.205882353,0.056669125,0.05299418800970037,0.9514669117647058,1.9109840858710883,0.5127098076733683,114.21691176470588
23,SPECTRUM-OV-026,SPECTRUM-OV-026_S1_LEFT_OVARY,1730,432,29,0,8,20,0,1241,1238,3,0,0,,,,5479737.641756549,0.1155536625577812,0.10636555539993325,0.9495839753466871,1.8605900855872253,0.48466501736338247,96.2557781201849,5440540.057211926,0.11468196535052376,0.10561063932867491,0.9491506849315068,1.8561394519631147,0.49552106426736503,97.9395648670427
24,SPECTRUM-OV-031,SPECTRUM-OV-031_S1_INFRARENAL_LYMPH_NODE,860,436,312,87,0,0,0,25,25,0,0,0,,,,5623995.2051886795,0.12566639150943396,0.11551643090201473,0.9939245283018867,2.0164595467172517,0.038585252576939545,31.46933962264151,4426286.76,0.09766408,0.09042488549585759,0.948,1.5681726092384907,0.5629878188922087,71.88
25,SPECTRUM-OV-031,SPECTRUM-OV-031_S1_LEFT_FALLOPIAN_TUBE,930,256,13,0,35,1,1,624,613,10,1,5,1.0,3.0,1.0,4928110.516320474,0.10885100296735906,0.10091563856498002,0.9375756676557864,1.6253602697381406,0.548116773864871,63.568249258160236,4855930.626602564,0.10721285096153846,0.09950060888429046,0.9382660256410256,1.6119486870680053,0.5580639434494871,62.31410256410256
26,SPECTRUM-OV-036,SPECTRUM-OV-036_S1_LEFT_OVARY,930,652,67,1,0,2,0,208,0,208,0,4,0.0,4.0,0.0,4802149.154676259,0.11567642086330936,0.10628081755080791,0.8893669064748202,2.72730220044892,0.22434604617561177,128.68705035971223,5117144.692307692,0.12358507692307692,0.11285833225566783,0.8592596153846154,2.961692235012854,0.2949991953653041,167.70192307692307
27,SPECTRUM-OV-036,SPECTRUM-OV-036_S1_RIGHT_ADNEXA,1720,323,480,52,15,1,0,849,0,842,7,12,0.0,5.0,7.0,4149562.6678596996,0.07163169291338582,0.0658866696785885,0.971159627773801,2.6509941866030617,0.19380974107030835,141.83106657122406,4626425.329799765,0.08167591166077738,0.0745190554078855,0.9550765606595996,3.012830839011816,0.30962835923138715,212.65253239104828
28,SPECTRUM-OV-037,SPECTRUM-OV-037_S1_INFRACOLIC_OMENTUM,854,524,105,19,3,0,0,203,191,12,0,2,0.0,2.0,0.0,6209393.324242424,0.13444864545454543,0.1202532854769319,0.979060606060606,1.947548685716214,0.24351855729101238,43.96666666666667,6087556.842364532,0.13214112807881773,0.11789258024189585,0.9747192118226601,1.8411274551953654,0.3865951310716952,55.09852216748769
29,SPECTRUM-OV-037,SPECTRUM-OV-037_S1_LEFT_OVARY,500,274,45,2,4,0,0,175,174,1,0,1,0.0,1.0,0.0,4585565.694690266,0.11089534513274336,0.10156134245338344,0.988716814159292,1.9100763486913102,0.2600082340424664,53.5929203539823,4551326.32,0.11021191999999999,0.10074167142347255,0.9897942857142857,1.8490310962526761,0.3275225373428966,59.92
